ProductID,Product Name,Category,Customer ,Paper,GSM,Print Size,Ups,Dimension,Ink,Plate No,Coating,Special Effects,Pasting,folding Dim.,Folding ,Construction,Specification,Actual GSM USED,ArtworkCode,Delivery Address,product immage ,ArtworkCDR,ArtworkPDF
11,Aviprocef Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,330,14 x 22,8,70 x 35 x 35,,,UV,Emboss,Side Pasting,,,Window UV batch coding and Brand Name Embossed,ITC Saffire board with 4 colour printing.,340,AAF0FAAXIN/C1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
12,Aviprocef Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,8,200 x 120,BLACK,,,,3,,Folding 3 Vertical,Folding 3 Vertical,Printed Leaflet on Art Paper,,AAF0FAAXIN/I1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
13,Aviprocef Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,27 x 75,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,,AAF0FAAXIN/L1,"Inject Care Parenterals Pvt. Ltd., Plot No. 130, GIDC Vapi, Silvassa Road, Vapi, Gujarat - 396195",,,
14,BD Ampho 50mg Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,19 x 25,4,126 x 74 x 51,,1906,Aqua,Foil + Emboss,Lock Bottom,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 special Pantone colour printing.,,YR0ABAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/14.ArtworkPDF.102158.pdf
15,BD Ampho 50mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,35 x 90,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,,YR0ABAXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/15.ArtworkPDF.102212.pdf
16,BD Ampho Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,4,310 x 140,BLACK,70570 - 10- 4-25,,,1+2,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,YR0ABAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/16.ArtworkPDF.102223.pdf
17,BD Cyclo 50 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,14.66 x 25,6,55 x 34 x 135,,,Aqua,Foil + Emboss,Lock Bottom,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 special Pantone colour printing.,290,BDR/BDCYCLO 50 MG/C/01,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
18,BD Cyclo Leaflet,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,58,18 X 23,6,223 x 180,BLACK,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,54,BDR/BDCYCLO 50MG/PI/01,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
19,BD Dapto 350 mg Cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,12.5 x 18,4,68 x 35 x 100,,,Aqua,Foil + Emboss,Lock Bottom,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 3 special Pantone colour printing.,320,YR0DNAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/19.ArtworkPDF.110203.pdf
20,BD Dapto 350 MG Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,70,,,27 x 70,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 3 special Pantone colour printing.,0,YR0DNAXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/20.ArtworkPDF.110215.pdf
21,BD DAPTO Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,3,315 x 190,BLACK,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,YR0DNAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/21.ArtworkPDF.110226.pdf
22,BD Fosfo 4g Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.75 X 20.75,4,115 x 83 x 42,,,Aqua,Foil + Emboss,Side Pasting,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 special Pantone colour printing.,350,BDR/BDFOSFO 4G/C/02,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
23,BD Fosfo 4G Combipack Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,360,18 X 25,2,192 x 59 x 156,,,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 special Pantone colour printing.,350,BDR/BDFOSFO 4G/C/04,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
24,BD Fosfo 4G Combipack Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,8,210 x 120,BLACK,,,,2+1,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,BDR/BDFOSFO 4G/PI/04,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
25,BD Fosfo 4G Combipack Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,80,,,40 x 80,,,Aqua,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,0,BDR/BD FOSFO 4G/L/04,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
26,BD Fosfo 4g Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,54,18 X 23,8,210 x 120,BLACK,71324,,,2+1,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,BDR/BDFOSFO 4G/PI/02,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
27,BD Fosfo 4g Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,40 x 90,,,Aqua,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,0,BDR/BDFOSFO 4G/L/02,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
28,BD Mica 50mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,14 x 22,4,95 x 78 x 35,"BLACK, 485, 416",8523,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 3 special Pantone colour printing.,350,YR0MFBAIN/C2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
30,BD Mica 50mg  USP Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,75,,,65 x 30,"534, 186,black",,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 3 special Pantone colour printing.,0,YR0MFBAIN/L2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
31,BD Poma 1-2-4 mg Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,2,350 x 205,BLACK,SG 17782,,,3+1,,Folding ‐  1 + 3,Folding ‐  1 + 3,Printed insert on Maplitho paper.,54,,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
32,BD Poma 2 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.33 x 18,6,68 x 42 x 42,CMYK,,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,350,BDR/BDPOMA 2MG/C/02,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
33,BD Poma 4 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.33 x 18,6,68 x 42 x 42,CMYK,,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,350,BDR/BDPOMA 4mg/C/02,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
34,BD Ron 250 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.75 X 20.75,4,105 x 58 x 58,513+485+Black,bd ron 250 & BDron 500 together,Aqua,"Foil- Silver , Emboss",Lock Bottom,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 special Pantone colour printing.,350,YR0ARBXIN/C2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
35,BD Ron 250 mg Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,6,200 x 190,,64395 30-7-24,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐ 2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,YR0ARBXIN/I2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
36,BD RON 250 mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,55 x 135,,,Aqua,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,0,YR0ARBXIN/I2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
37,BD Ron 500 mg  Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.75 X 20.75,4,105 x 58 x 58,511+485 +Black,250& 500 printed together,Aqua,"Foil- Silver , Emboss",Lock Bottom ,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 special Pantone colour printing.,0,YR0ARAXIN/C2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
38,BD Ron 500 mg Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,6,200 x 190,BLACK,64396 dt 30-7-24,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,YR0ARAXIN/I2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
39,BD TEM 250 mg Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,58,18 X 23,8,146 x 200,BLACK,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,BDR/BDTEM 5/20/100/140/180/250/PI/02,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
40,BD TEM 250 mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,0,BDR/BDTEM 250/L/02,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
41,BD Tem250 mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,18 X 23,9,,,,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 special Pantone colour printing.,290,BDR/BDTEM 250/C/02,"BDR Pharmaceuticals Int'l Pvt. Ltd., R.S. NO-578, NEAR EFFLUENT CHANEL, VILLAGE LUNA, PADRA, VADODRA 391440, Gujarat India.",,,
42,BD Tera 500 mg Insert,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,54,20 X 30,8,180 x 240,BLACK,,,,,,2+2,Folding ‐ 2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,58,CS0LTAXIN/I1,"Samrudh Pharmaceuticals Pvt. Ltd., J - 174, MIDC Tarapur, Boisar, Thane 401506, Maharashtra India.",,,Product_Files_/42.ArtworkPDF.103930.pdf
43,BD Tera 500 mg Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,75,,,20 x 75,,,Aqua,,,,,Window Varnish batch coding.,Printed Label on Chromo paper with 4 special Pantone colour printing.,0,CS0LTAXIN/L1,"Samrudh Pharmaceuticals Pvt. Ltd., J - 174, MIDC Tarapur, Boisar, Thane 401506, Maharashtra India.",,,Product_Files_/43.ArtworkPDF.103946.pdf
44,BD Tera 500 mg Outer Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,14 X 20,2,55 x 165 x 68,"1645, 186, Black",5642 outer,Aqua,Foil + Emboss,Lock Bottom,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 special Pantone colour printing.,290,CS0LTAXIN/OC1,"Samrudh Pharmaceuticals Pvt. Ltd., J - 174, MIDC Tarapur, Boisar, Thane 401506, Maharashtra India.",,,Product_Files_/44.ArtworkPDF.103956.pdf
45,BD Tera 500mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,11.5 X 18,8,50 x 32 x 32,"1645, 186, Black",5642 inner,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 special Pantone colour printing.,290,CS0LTAXIN/C1,"Samrudh Pharmaceuticals Pvt. Ltd., J - 174, MIDC Tarapur, Boisar, Thane 401506, Maharashtra India.",,,Product_Files_/45.ArtworkPDF.104006.pdf
46,Bdcoline 2ml Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,350,15.75 X 20.75,8,90 x 17 x 75,,,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 3 special Pantone colour printing.,320,YR0CLBXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
47,Bdcoline 2ml Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,26 x 32,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,YR0CLBXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
48,BDColine Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,12,130 x 125,BLACK,,,,1+1,,Folding - 1 Horizontal + 1 Vertical,Folding - 1 Horizontal + 1 Vertical,Printed insert on Maplitho paper.,0,YR0CLBXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
49,Bdolenic 4mg Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,11.5 x 18,8,56 x 30 x 30,,,Aqua,,Lock Bottom,,,Window Varnish batch coding.,Printed carton on ITC Saffire board with 4 special Pantone colour printing.,290,BDR/BDOLENIC 4MG/C/03,"Khandelwal Laboratories Pvt Ltd, B-1 Wagle industrial Estate ,Thane 400604",,,
50,Bdolenic 4mg Label,Labels,BDR Pharmaceuticals International Pvt. Ltd.,Cromo,80,18 X 23,91,28 x 72,,,,,,,,,Printed Label on Chromo paper with 4 special Pantone colour printing.,0,BDR/BDOLENIC 4 MG/L/03,"Khandelwal Laboratories Pvt Ltd, B-1 Wagle industrial Estate ,Thane 400604",,,
51,BDolenic Leaflets,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,54,18 X 23,10,195 x 160,BLACK,,,,,,Folding ‐  1 + 3,Folding ‐  1 + 3,Printed insert on Maplitho paper.,54,BDR/BDOLENIC 4 MG/PI/03,"Khandelwal Laboratories Pvt Ltd, B-1 Wagle industrial Estate ,Thane 400604",,,
52,Cibifer S Carton,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,300,15.75 X 20.75,6,98 x 92 x 17,,,Aqua,Foil + Emboss,Side Pasting,,,"Window Varnish batch coding, Foiling, Emboss on Brand Name.",Printed carton on ITC Saffire board with 4 colour printing with Window Aqua Varnish for batch coding.,290,YAGISAXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/52.ArtworkPDF.102329.pdf
53,Cibifer S Label,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,70,,,43 x 38,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,YAGISAXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/53.ArtworkPDF.102259.pdf
54,Cibifer S Leaflet,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,18 X 23,6,180 x 210,BLACK,,,,2+1,,Folding ‐  2 + 1,Folding ‐  2 + 1,Printed insert on Maplitho paper.,54,YAGISAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/54.ArtworkPDF.102316.pdf
55,Colisig 1 MIU cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,340,18 X 25,8,68 x 35 x 100,,,Textured UV,Emboss,Side Pasting,,,Window UV with special texture with embossing on brand name.,Printed carton on ITC Saffire board with 4 colour printing.,320,YDKCUDXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
56,Colisig 1 MIU Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,30 x 65,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,BDR/Colisig 1 MIU/L/02,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,
57,Colisig 1-2-3-4.5 MIU Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,240 x 190,BLACK,59539  1/6/24,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,YDKCUAXIN/I1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
58,Colisig 2 MIU cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,340,14 x 22,8,51 x 32 x 84,CMYK,,Textured UV,Emboss,Side Pasting,,,Window UV with special texture with embossing on brand name.,Printed carton on ITC Saffire board with 4 colour printing.,320,YDKCUCXIN/C1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
59,Colisig 2 MIU Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,30 x 65,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,YDKCUCXIN/L1,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,
60,Colisig 4.5 MIU cartons,Cartons,BDR Pharmaceuticals International Pvt. Ltd.,White,340,14 x 22,8,68 x 35 x 100,,,Textured UV,Emboss,Side Pasting,,,Window UV with special texture with embossing on brand name.,Printed carton on ITC Saffire board with 4 colour printing.,320,YDKCUAXIN/C2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/60.ArtworkPDF.110329.5 MIU  Artwork for Approval Final code 02.pdf
61,Colisig 4.5 MIU Inserts,Inserts,BDR Pharmaceuticals International Pvt. Ltd.,Maplitho,60,15 X 20,4,240 x 190,BLACK,,,,2+2,,Folding ‐  2 vertical + 2 horizontal.,Folding ‐  2 vertical + 2 horizontal.,Printed insert on Maplitho paper.,0,BDR/Colisig 1MIU/2MIU/3MIU/4.5MIU/PI/02,"Mepromax Lifesciences Pvt. Ltd., 16‐Pharmacity, Industrial Area, Selaqui, Dehradun‐248197 (Uttarakhand)",,,Product_Files_/61.ArtworkPDF.103746.5 MIU  Artwork for Approval Final code 02.pdf
62,Colisig 4.5 MIU Labels,Labels,BDR Pharmaceuticals International Pvt. Ltd.,,75,,,,,,,,,,,Window Varnish batch coding.,Printed Label on Chromo paper Size + - 3mm with 4 colour printing.,0,YDKCUAXIN/C2,"BDR PHARMACEUTICALS INTERNATIONAL PVT. LTD , Survey No. 51/1, At Vanseti Village, PO: Tajpura, Taluka – Halol, Dist. Panchamahals.",,,Product_Files_/62.ArtworkPDF.110350.5 MIU  Artwork for Approval Final code 02.pdf
